seed,test_rmse,test_qlike
42,0.8225061470217196,0.42446090925084273
1337,0.8255919713735803,0.44785662094485584
2024,0.8252130345474493,0.4455775570608093
7,0.8221584332447522,0.44981928554741163
123,0.8265648519019094,0.46439157290605676
