epoch,train_loss,val_rmse
0,0.6041199383501097,0.9218205927619407
1,0.46023213297022175,0.9097821146232239
2,0.4512478378056127,0.8878783689897869
3,0.4512587690368429,0.8867535566690877
4,0.4480764692649637,0.8932828534115873
5,0.4492915553883241,0.8940845769508197
6,0.44702599952394834,0.8815449775174075
7,0.4473715384128792,0.8875231845132574
8,0.44352953247796445,0.8860767841608519
9,0.44513683477469496,0.8845041181602459
10,0.4368494529169799,0.8826141201385184
11,0.44108901959596275,0.8821383160767327
12,0.43748483700814406,0.8802457523025027
13,0.44320518792063995,0.8854493193871753
14,0.4410550180029313,0.8835307190906625
15,0.43693149683103105,0.8937783218309898
16,0.4422710537409266,0.8874133235112163
17,0.43922028470520513,0.8838102991019294
18,0.43898772236076455,0.8840472553931917
19,0.4343538730490827,0.881146856118864
20,0.4362159413100542,0.8849747096077558
21,0.43698823002173115,0.8814841554664947
22,0.4361998271185334,0.8886215227713757
23,0.4393402003041581,0.885945855115525
24,0.43548567743143013,0.8928084292404205
25,0.4377138853849973,0.8889369628117099
26,0.43283770352896456,0.887860588313055
27,0.43280303663683206,0.8793211766639116
28,0.43369032775551325,0.8844217128397026
29,0.42679722229046607,0.8835549225670071
30,0.429547037839238,0.8818625497702541
31,0.4368906923394908,0.8910575082238786
32,0.4356742732623106,0.8800209950944898
33,0.4261218580298497,0.8838216208128483
34,0.4277447230717653,0.8857662435865646
35,0.4278304635638922,0.8833354793362052
36,0.4284961695790867,0.8965323636378751
37,0.428431418861991,0.8812110950773372
38,0.4266334591178501,0.8875767373830181
39,0.42682785462350786,0.892195371139133
40,0.42600947020809166,0.8908904120412051
41,0.42489087779606644,0.8959157216486424
42,0.4219641070143375,0.8937451146903745
